序号,位移响应
526,3.219745295221816e-07
527,3.3237007383900064e-07
528,3.422926148751147e-07
529,3.516962632259599e-07
530,3.6053771927704463e-07
531,3.687764768414014e-07
532,3.7637501297902826e-07
533,3.8329896311150283e-07
534,3.895172806168765e-07
535,3.950023801663731e-07
536,3.997302641435824e-07
537,4.03680631569644e-07
538,4.0683696904274914e-07
539,4.0918662328783895e-07
540,4.107208550013306e-07
541,4.1143487376627213e-07
542,4.113278539045639e-07
543,4.1040293122488604e-07
544,4.086671807166883e-07
545,4.0613157533210557e-07
546,4.028109260884263e-07
547,3.987238038127817e-07
548,3.938924429386985e-07
549,3.883426278492994e-07
550,3.821035623452687e-07
551,3.7520772289545653e-07
552,3.6769069640490675e-07
553,3.595910033080736e-07
554,3.509499068642459e-07
555,3.418112095966126e-07
556,3.3222103787680483e-07
557,3.22227615711818e-07
558,3.118810288401625e-07
559,3.0123298028880977e-07
560,2.903365385813639e-07
561,2.792458798212799e-07
562,2.6801602490103666e-07
563,2.567025731094739e-07
564,2.4536143342464523e-07
565,2.340485547882405e-07
566,2.228196566604275e-07
567,2.117299611501751e-07
568,2.0083392800650213e-07
569,1.9018499373985978e-07
570,1.798353161210448e-07
571,1.698355252768276e-07
572,1.6023448256783348e-07
573,1.5107904839468624e-07
574,1.4241386003349665e-07
575,1.342811205518714e-07
576,1.2672039980128936e-07
577,1.1976844842224945e-07
578,1.1345902573417215e-07
579,1.0782274231406979e-07
580,1.0288691799592895e-07
581,9.867545594728431e-08
582,9.520873340138723e-08
583,9.250350954202898e-08
584,9.057285095501136e-08
585,8.942607497510532e-08
586,8.90687111707005e-08
587,8.950248112087923e-08
588,9.072529655145448e-08
589,9.273127580811904e-08
590,9.551077855681477e-08
591,9.905045851407877e-08
592,1.0333333392363041e-07
593,1.0833887541088349e-07
594,1.1404311076390771e-07
595,1.2041874610906417e-07
596,1.274353028712973e-07
597,1.3505926983455093e-07
598,1.432542695459977e-07
599,1.5198123824043828e-07
600,1.6119861839724652e-07
601,1.708625629832684e-07
602,1.8092715038026975e-07
603,1.9134460894591613e-07
604,2.0206555011268864e-07
605,2.1303920888976718e-07
